activities,datetime,id,imageCount,region,tags,title,username,area.id,area.name,area.slug,location.latitude,location.longitude,observations.avalanche,observations.incident,observations.quick,observations.snowpack,observations.weather
,2016-11-26T04:18:00Z,58efa754-b9d8-437e-9c87-92f1c56c9b90,3,North Columbia,['snowConditions'],Gorge Nov 25,StroopDogg,9b642bc3-6f7c-47c4-b0e6-101751e2a25c,North Columbia,north-columbia,51.043,-118.829,1,0,0,0,0
,2016-11-26T03:49:00Z,859b7f8a-3efc-4e2d-8233-7a1e67e43aa8,0,South Coast Inland,['snowConditions'],Hope Creek,ray,ef6cafd5-aa52-41c2-8d43-7293c4e91ff9,South Coast Inland,south-coast-inland,50.576,-122.962,0,0,1,0,1
,2016-11-26T03:45:00Z,da4b3cb8-ff48-4cc5-8b3f-f5444e5827d8,1,North Columbia,['snowConditions'],Avalanches at the Gorge,meganderson90,9b642bc3-6f7c-47c4-b0e6-101751e2a25c,North Columbia,north-columbia,51.027,-118.828,1,0,0,0,0
,2016-11-26T02:51:25Z,cced9f65-3d06-4af7-a180-8ed966c06bdd,0,"Banff, Yoho, and Kootenay National Parks",['snowConditions'],Bow Summit,bFow,,,,51.71,-116.502,0,0,1,0,0
,2016-11-26T02:39:00Z,2aadc22e-1669-4b83-bb88-9b792289afb6,1,Kananaskis Country,['snowConditions'],Burstall Pass,gggordferguson,2e710073-a73a-49d1-9603-0c0b5ff90033,Kananaskis Country,kananaskis,50.765,-115.374,0,0,1,0,0
,2016-11-26T02:16:00Z,55063bb3-212a-4bc4-a1b6-b0b3b1f41157,1,Sea to Sky,['snowConditions'],Paul ridge,christopher_mccrum,93518f8b-24b0-47c5-8a17-6a6ffa409a83,Sea to Sky,sea-to-sky,49.777,-122.967,0,0,1,0,0
,2016-11-26T01:53:00Z,830bc829-f7c4-40dd-8613-a3164ec2bf4a,0,Northwest Coastal,['snowConditions'],Shames Backcountry,Marie Blouin,0911afed-1bf5-4b46-8ad9-cc012b3d289a,Northwest Coastal,northwest-coastal,54.505,-128.948,0,0,1,0,0
,2016-11-26T01:39:00Z,026fe058-ea21-4c21-b4c2-c47750f51600,1,Purcells,['snowConditions'],Burstall Pass,gggordferguson,63f12039-92fd-40b0-a0fb-4f558d626409,Purcells,purcells,50.672,-116.703,0,0,1,0,0
,2016-11-26T00:43:00Z,5b52af74-9a97-4079-9dd1-027665058cb7,0,Lizard-Flathead,['snowConditions'],Harvey today..only 10 of your closest Friends,Megan Kelly,6fa00a5a-e829-4dcb-8733-c9eae75f8821,Lizard-Flathead,lizard-range,49.2833,-114.7,0,0,1,1,1
,2016-11-26T00:07:00Z,3428846c-1b18-4d5d-89ca-fbe151ad38ea,0,North Rockies,['snowConditions'],West Torpy,craig,69c9e943-4fdf-493d-8ff0-e9963e6162b8,North Rockies,north-rockies,54.08432695780649,-121.33417457342146,0,0,1,0,0
,2016-11-25T00:42:00Z,9435bfde-5798-43ce-8f5f-79fa9b5bc992,0,Sea to Sky,['snowConditions'],Disease Ridge,monte,93518f8b-24b0-47c5-8a17-6a6ffa409a83,Sea to Sky,sea-to-sky,50.0729789358354,-122.88027763366699,0,0,1,0,0
